Block,Class/Event Name,Upperclassmen? (yes/no),Color Code (*leave blank for default calendar color)
A,Geometry Accel,no,7
B,Alg II Accel (B),no,6
E,Geometry,no,5
G,Alg II Accel (G),no,3
